Modelo,Classe,precision,recall,f1-score,support
Random Forest,Não readmitido <30,0.9218814185950979,0.7446220206824089,0.8238245281287283,18083.0
Random Forest,Readmitido <30,0.19659011830201809,0.49757815940114486,0.28183065220102255,2271.0
Random Forest,accuracy,0.7170580721234155,0.7170580721234155,0.7170580721234155,0.7170580721234155
Random Forest,macro avg,0.5592357684485579,0.6211000900417769,0.5528275901648754,20354.0
Random Forest,weighted avg,0.8409569544619749,0.7170580721234155,0.763351496182584,20354.0
XGBoost,Não readmitido <30,0.9217105704135666,0.7604379804236023,0.833343433731289,18083.0
XGBoost,Readmitido <30,0.20294388224471022,0.4856891237340379,0.2862704386192577,2271.0
XGBoost,accuracy,0.7297828436670925,0.7297828436670925,0.7297828436670925,0.7297828436670925
XGBoost,macro avg,0.5623272263291385,0.6230635520788201,0.5598069361752733,20354.0
XGBoost,weighted avg,0.841514090663568,0.7297828436670926,0.7723036984507828,20354.0
Rede Neural,Não readmitido <30,0.9123500973190181,0.8035724160814024,0.8545133784181124,18083.0
Rede Neural,Readmitido <30,0.197650779308787,0.3852928225451343,0.2612720214989549,2271.0
Rede Neural,accuracy,0.7569028200845043,0.7569028200845043,0.7569028200845043,0.7569028200845043
Rede Neural,macro avg,0.5550004383139026,0.5944326193132683,0.5578926999585336,20354.0
Rede Neural,weighted avg,0.8326074348840551,0.7569028200845043,0.7883224026117153,20354.0
