model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,param_colsample_bytree,param_learning_rate,param_reg_lambda,param_scale_pos_weight,param_subsample,param_mlp__alpha,param_mlp__batch_size,param_mlp__hidden_layer_sizes,param_mlp__learning_rate_init
Random Forest,9.666103919347128,0.485089190290496,0.7737412452697754,0.02170092565596414,balanced,16.0,8.0,10.0,120.0,"{'class_weight': 'balanced', 'max_depth': 16, 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 120}",0.2626742385131647,0.2756524473325647,0.26659674882013634,0.2683078115552886,0.005434720342557241,2,0.4227825997637512,0.4205328669889929,0.4206935179998982,0.4213363282508807,0.0010247692922577436,,,,,,,,,
Random Forest,19.14155634244283,2.626455400485556,1.3286065260569255,0.0507893624944804,balanced,16.0,8.0,10.0,200.0,"{'class_weight': 'balanced', 'max_depth': 16, 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 200}",0.26585976627712854,0.2719915922228061,0.2691533326268941,0.26900156370894296,0.002505606740939636,1,0.4254129342929633,0.42766320359745696,0.42771767130345184,0.42693126973129064,0.001073855533489726,,,,,,,,,
Random Forest,13.861586570739746,1.719903351988031,1.2115288575490315,0.20511905126189092,balanced,24.0,8.0,10.0,120.0,"{'class_weight': 'balanced', 'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 120}",0.2525027808676307,0.2634256642170718,0.2581644144144144,0.2580309531663723,0.00446024693598318,6,0.5723128506028757,0.5757989975916162,0.578453574894856,0.5755218076964493,0.002514590673915772,,,,,,,,,
Random Forest,21.910353024800617,0.3076613225188559,1.7404380639394124,0.02393819378317141,balanced,24.0,8.0,10.0,200.0,"{'class_weight': 'balanced', 'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 200}",0.2515740870295229,0.2645517632063447,0.25954415954415955,0.25855666992667575,0.005343929362438029,5,0.5788685632445805,0.5817778357916721,0.5863847007375498,0.5823436999246008,0.003094428581176834,,,,,,,,,
Random Forest,12.43825395901998,2.4153625537057883,0.7955872217814127,0.1381855808918243,balanced_subsample,16.0,8.0,10.0,120.0,"{'class_weight': 'balanced_subsample', 'max_depth': 16, 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 120}",0.26222537207654145,0.27143597719025403,0.2700440055811957,0.26790178494933037,0.004053857715549398,3,0.4183796856106409,0.4208649584840304,0.4238431209794563,0.4210292550247092,0.0022334616663026536,,,,,,,,,
Random Forest,20.418513377507526,2.9569333928988675,0.7657214800516764,0.2091144824756977,balanced_subsample,16.0,8.0,10.0,200.0,"{'class_weight': 'balanced_subsample', 'max_depth': 16, 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 200}",0.2608423686405338,0.27088368183251027,0.2699700982486117,0.2672320495738853,0.004533554570365189,4,0.42571649883810997,0.42511532547411585,0.4266928970801408,0.4258415737974555,0.0006500850468082407,,,,,,,,,
Random Forest,14.54870597521464,0.200717575582422,0.6721904277801514,0.09157228222852538,balanced_subsample,24.0,8.0,10.0,120.0,"{'class_weight': 'balanced_subsample', 'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 120}",0.25123830489818383,0.2633037694013304,0.2587836884436292,0.25777525424771447,0.004977051541142942,7,0.5730388028762066,0.5700122320221463,0.5727494542185694,0.5719334963723074,0.001363664961007413,,,,,,,,,
Random Forest,17.437766393025715,1.1440336129477562,0.6304086844126383,0.038006374049021706,balanced_subsample,24.0,8.0,10.0,200.0,"{'class_weight': 'balanced_subsample', 'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 200}",0.25014005602240896,0.26433430515063167,0.25797346881174144,0.2574826099949274,0.005805163440825522,8,0.5803237858032378,0.5770174306003873,0.5777662807993275,0.5783691657343176,0.0014155326124778722,,,,,,,,,
XGBoost,1.7629118760426838,1.3112997573485057,0.15698464711507162,0.08963851747392682,,4.0,,,120.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 120, 'reg_lambda': 0.5, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.01045751633986928,0.004605263157894736,0.010460934946060804,0.008507904814608273,0.0027595847329207474,31,0.019550342130987292,0.011147540983606558,0.015699100572363043,0.015465661228985633,0.003434398271010814,0.9,0.05,0.5,1.0,0.9,,,,
XGBoost,0.8409532705942789,0.1423354412251352,0.09727152188618977,0.008526356938320705,,4.0,,,120.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 120, 'reg_lambda': 0.5, 'scale_pos_weight': 7.960158485582214, 'subsample': 0.9}",0.2709193819795013,0.26880449238953746,0.2727749868786084,0.27083295374921573,0.0016220992573777967,12,0.29196240168808746,0.2894394710449092,0.28736227168527695,0.2895880481394245,0.0018809315733522968,0.9,0.05,0.5,7.960158485582214,0.9,,,,
XGBoost,0.8732466697692871,0.31994583776165636,0.0928057034810384,0.002133420073473547,,4.0,,,120.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 120, 'reg_lambda': 1.0, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.007848266841072597,0.004606778545574202,0.012414243711205489,0.00828976303261743,0.003202636127057203,32,0.01986323673070661,0.009845749917952083,0.015691402419091206,0.015133463022583301,0.004108607451725334,0.9,0.05,1.0,1.0,0.9,,,,
XGBoost,1.462280511856079,1.0881884102122135,0.0967567761739095,0.0047188344253963335,,4.0,,,120.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 120, 'reg_lambda': 1.0, 'scale_pos_weight': 7.960158485582214, 'subsample': 0.9}",0.2696955790117791,0.26950040587410523,0.2738757707926004,0.27102391855949487,0.002018137591612446,11,0.29262106072252114,0.2901012498609205,0.2876341092178045,0.2901188066004154,0.0020359522762784504,0.9,0.05,1.0,7.960158485582214,0.9,,,,
XGBoost,3.793947617212931,1.6167467674307003,0.16665331522623697,0.0633668086430398,,4.0,,,200.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 0.5, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.016223231667748216,0.011772400261608895,0.01498371335504886,0.014326448428135324,0.0018755395560712696,29,0.02852512155591572,0.02279016767051929,0.02375915378356387,0.025024814336666295,0.00250650440436684,0.9,0.05,0.5,1.0,0.9,,,,
XGBoost,2.5503644943237305,0.6462818566788077,0.12636987368265787,0.005829628542800723,,4.0,,,200.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 0.5, 'scale_pos_weight': 7.960158485582214, 'subsample': 0.9}",0.27161255494717357,0.2733867311470455,0.27553989891254405,0.27351306166892103,0.0016058180067390346,2,0.30382005041690907,0.29985178428913467,0.2998903301440835,0.3011873882833757,0.0018616397570848844,0.9,0.05,0.5,7.960158485582214,0.9,,,,
