model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,param_colsample_bytree,param_learning_rate,param_reg_lambda,param_subsample,param_mlp__alpha,param_mlp__batch_size,param_mlp__hidden_layer_sizes,param_mlp__learning_rate_init,parametros_formatados
Random Forest,4.461330413818359,0.11075556528064207,0.5121304194132487,0.018963682053900095,16.0,8.0,10.0,80.0,"{'max_depth': 16, 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 80}",0.5359695431060155,0.5338982048103182,0.5334158829504065,0.53442787695558,0.001107763357306348,4,0.6363230284100112,0.6277862523647243,0.6294026102407179,0.6311706303384844,0.0037025718639369255,,,,,,,,,"max_depth=16, min_samples_leaf=8, min_samples_split=10, n_estimators=80"
Random Forest,7.252652883529663,0.0956345021928681,0.4446779092152913,0.05490770961811567,16.0,8.0,10.0,120.0,"{'max_depth': 16, 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 120}",0.5366259206970724,0.536822025314661,0.5367182643936551,0.5367220701351295,8.01045900100938e-05,3,0.6380180294930914,0.6312627508629719,0.6318329247358511,0.6337045683639714,0.0030589469588569187,,,,,,,,,"max_depth=16, min_samples_leaf=8, min_samples_split=10, n_estimators=120"
Random Forest,6.04325254758199,0.0671399171225429,0.5092549324035645,0.05797558727557817,24.0,8.0,10.0,80.0,"{'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 80}",0.5474295019285562,0.551557227208495,0.5458213026398625,0.548269343925638,0.0024158102297582662,2,0.7024936018256069,0.6972712622148632,0.6952676934619566,0.6983441858341423,0.0030459603564473234,,,,,,,,,"max_depth=24, min_samples_leaf=8, min_samples_split=10, n_estimators=80"
Random Forest,8.450990200042725,0.1452102178594149,0.3925984700520833,0.009915683344933571,24.0,8.0,10.0,120.0,"{'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 120}",0.5493051866134395,0.5525074189680632,0.5473202924308669,0.5497109660041232,0.002136985901318227,1,0.7064057313082821,0.7003935394907725,0.6982913254783975,0.7016968654258173,0.003438496702798754,,,,,,,,,"max_depth=24, min_samples_leaf=8, min_samples_split=10, n_estimators=120"
XGBoost,7.37628451983134,0.10241791178991794,0.13512651125590006,0.010199025327024042,4.0,,,80.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 80, 'reg_lambda': 0.5, 'subsample': 0.9}",0.5301636199264921,0.536180022741572,0.536577566835992,0.5343070698346853,0.0029343532147115647,4,0.5467107439699534,0.545439711897947,0.5478766492630954,0.546675701710332,0.0009951840367100017,0.9,0.1,0.5,0.9,,,,,"colsample_bytree=0.9, learning_rate=0.1, max_depth=4, n_estimators=80, reg_lambda=0.5, subsample=0.9"
XGBoost,8.855492432912191,0.2850622645654598,0.12732537587483725,0.022209885613654317,4.0,,,120.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 120, 'reg_lambda': 0.5, 'subsample': 0.9}",0.5340740732458614,0.5403380724792969,0.541213315406522,0.5385418203772268,0.0031793171035912437,3,0.5547971815086618,0.5546734970117556,0.5554541594014993,0.5549749459739722,0.00034259655138898376,0.9,0.1,0.5,0.9,,,,,"colsample_bytree=0.9, learning_rate=0.1, max_depth=4, n_estimators=120, reg_lambda=0.5, subsample=0.9"
XGBoost,8.661461432774862,0.35006358679931343,0.1375438372294108,0.013817603751017798,6.0,,,80.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 80, 'reg_lambda': 0.5, 'subsample': 0.9}",0.5386583011655259,0.5418121332975848,0.5433375157565311,0.5412693167398807,0.00194846087269881,2,0.5804023840106627,0.5793829539160976,0.5828847228391691,0.5808900202553098,0.0014705867826523178,0.9,0.1,0.5,0.9,,,,,"colsample_bytree=0.9, learning_rate=0.1, max_depth=6, n_estimators=80, reg_lambda=0.5, subsample=0.9"
XGBoost,9.498980522155762,0.008482685497829087,0.12402153015136719,0.007386142904048935,6.0,,,120.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 120, 'reg_lambda': 0.5, 'subsample': 0.9}",0.5428352359970328,0.544682496040546,0.5463623323350888,0.5446266881242224,0.001440471690598916,1,0.5958891371920683,0.5961122149882595,0.5995896859207158,0.5971970127003479,0.0016943247977464584,0.9,0.1,0.5,0.9,,,,,"colsample_bytree=0.9, learning_rate=0.1, max_depth=6, n_estimators=120, reg_lambda=0.5, subsample=0.9"
Rede Neural,11.908596913019815,0.6135797998062967,0.08033545811971028,0.00489521255110584,,,,,"{'mlp__alpha': 0.001, 'mlp__batch_size': 64, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.001}",0.5259709918078809,0.51981756979668,0.527597771851191,0.5244621111519173,0.003350664275205751,1,0.5573571101013621,0.5397279592639656,0.5671859231191948,0.5547569974948408,0.011359442003423472,,,,,0.001,64.0,"(100,)",0.001,"mlp__alpha=0.001, mlp__batch_size=64, mlp__hidden_layer_sizes=(100,), mlp__learning_rate_init=0.001"
Rede Neural,12.405137538909912,1.4854714408301395,0.06684311230977376,0.006488450466092816,,,,,"{'mlp__alpha': 0.001, 'mlp__batch_size': 64, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.01}",0.5275569414723293,0.5160588424292183,0.5096118407284976,0.5177425415433484,0.007422164653107578,3,0.5593079887446802,0.5188245782940824,0.5242116545275812,0.5341147405221146,0.017949558297058212,,,,,0.001,64.0,"(100,)",0.01,"mlp__alpha=0.001, mlp__batch_size=64, mlp__hidden_layer_sizes=(100,), mlp__learning_rate_init=0.01"
