Modelo,seed,Classe,precision,recall,f1,support
Random Forest,7,Não readmitido <30,0.9134190570392351,0.766023336835702,0.8332531280076998,18083
Random Forest,7,Readmitido <30,0.1846213143187512,0.4218405988551299,0.2568364611260054,2271
XGBoost,7,Não readmitido <30,0.9181696726786908,0.7601061770723885,0.831694551175385,18083
XGBoost,7,Readmitido <30,0.19427934621099555,0.46059004843681195,0.27328543435662966,2271
Rede Neural,7,Não readmitido <30,0.9121720601944333,0.7575623513797489,0.8277091326546026,18083
Rede Neural,7,Readmitido <30,0.17841079460269865,0.4191985909291061,0.2502957802024451,2271
Random Forest,21,Não readmitido <30,0.9168646080760094,0.7471105458165127,0.8233286611006155,18083
Random Forest,21,Readmitido <30,0.18615411995016906,0.46059004843681195,0.26514575411913816,2271
XGBoost,21,Não readmitido <30,0.9218771662276445,0.7354421279654925,0.8181734288966133,18083
XGBoost,21,Readmitido <30,0.19298245614035087,0.503742844561867,0.27905842175875106,2271
Rede Neural,21,Não readmitido <30,0.9097667725882846,0.8391306752198198,0.8730222656924229,18083
Rede Neural,21,Readmitido <30,0.20843537414965987,0.337296345222369,0.25765220316178944,2271
Random Forest,42,Não readmitido <30,0.9218814185950979,0.7446220206824089,0.8238245281287282,18083
Random Forest,42,Readmitido <30,0.19659011830201809,0.49757815940114486,0.2818306522010226,2271
XGBoost,42,Não readmitido <30,0.9217105704135666,0.7604379804236023,0.833343433731289,18083
XGBoost,42,Readmitido <30,0.20294388224471022,0.4856891237340379,0.2862704386192577,2271
Rede Neural,42,Não readmitido <30,0.9123500973190181,0.8035724160814024,0.8545133784181125,18083
Rede Neural,42,Readmitido <30,0.197650779308787,0.3852928225451343,0.2612720214989549,2271
Random Forest,84,Não readmitido <30,0.9232841747022121,0.7201238732511198,0.8091465498493181,18083
Random Forest,84,Readmitido <30,0.19024,0.5235579040070454,0.2790752259124516,2271
XGBoost,84,Não readmitido <30,0.9219771241830066,0.7488801636896533,0.8264624210429954,18083
XGBoost,84,Readmitido <30,0.1985527709142252,0.4953764861294584,0.2834824240897065,2271
Rede Neural,84,Não readmitido <30,0.9090456017941689,0.8069457501520766,0.8549582539915043,18083
Rede Neural,84,Readmitido <30,0.1885169688516969,0.3571114046675473,0.24676707743800397,2271
Random Forest,126,Não readmitido <30,0.9252016435854512,0.6723994912348614,0.7787990392313849,18083
Random Forest,126,Readmitido <30,0.17859123682750971,0.5671510347864377,0.27164399451650323,2271
XGBoost,126,Não readmitido <30,0.9234625432464874,0.7232760050876513,0.8112013893196056,18083
XGBoost,126,Readmitido <30,0.19172993054433857,0.5226772346983708,0.28054833372725124,2271
Rede Neural,126,Não readmitido <30,0.9096547835348663,0.8029088093789747,0.852954999412525,18083
Rede Neural,126,Readmitido <30,0.1887093102663328,0.36503742844561865,0.24879951980792317,2271
