Modelo,seed,TN,FP,FN,TP,TN_normalizado,FP_normalizado,FN_normalizado,TP_normalizado
Random Forest,7,13852,4231,1313,958,0.766023336835702,0.23397666316429797,0.5781594011448701,0.4218405988551299
XGBoost,7,13745,4338,1225,1046,0.7601061770723885,0.23989382292761158,0.539409951563188,0.46059004843681195
Rede Neural,7,13699,4384,1319,952,0.7575623513797489,0.24243764862025108,0.5808014090708938,0.4191985909291061
Random Forest,21,13510,4573,1225,1046,0.7471105458165127,0.25288945418348724,0.539409951563188,0.46059004843681195
XGBoost,21,13299,4784,1127,1144,0.7354421279654925,0.26455787203450754,0.496257155438133,0.503742844561867
Rede Neural,21,15174,2909,1505,766,0.8391306752198198,0.1608693247801803,0.662703654777631,0.337296345222369
Random Forest,42,13465,4618,1141,1130,0.7446220206824089,0.2553779793175911,0.5024218405988551,0.49757815940114486
XGBoost,42,13751,4332,1168,1103,0.7604379804236023,0.23956201957639772,0.5143108762659622,0.4856891237340379
Rede Neural,42,14531,3552,1396,875,0.8035724160814024,0.19642758391859758,0.6147071774548657,0.3852928225451343
Random Forest,84,13022,5061,1082,1189,0.7201238732511198,0.2798761267488802,0.4764420959929547,0.5235579040070454
XGBoost,84,13542,4541,1146,1125,0.7488801636896533,0.25111983631034673,0.5046235138705416,0.4953764861294584
Rede Neural,84,14592,3491,1460,811,0.8069457501520766,0.19305424984792346,0.6428885953324527,0.3571114046675473
Random Forest,126,12159,5924,983,1288,0.6723994912348614,0.3276005087651385,0.4328489652135623,0.5671510347864377
XGBoost,126,13079,5004,1084,1187,0.7232760050876513,0.2767239949123486,0.47732276530162926,0.5226772346983708
Rede Neural,126,14519,3564,1442,829,0.8029088093789747,0.1970911906210253,0.6349625715543813,0.36503742844561865
