Modelo,seed,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
Random Forest,7,0.5039416998232301,0.7276211064164292,0.1846213143187512,0.4218405988551299,0.2568364611260054,0.6526280683378538,0.20324775864834277
XGBoost,7,0.5466973781585693,0.7266876289672791,0.19427934621099555,0.46059004843681195,0.27328543435662966,0.6650850000753655,0.21279432185286112
Rede Neural,7,0.1296540310615604,0.7198093740788052,0.17841079460269865,0.4191985909291061,0.25029578020244514,0.6368601526310026,0.19449769746273438
Random Forest,21,0.4961865665590855,0.715141986833055,0.18615411995016906,0.46059004843681195,0.26514575411913816,0.6594677563530931,0.20871363025777942
XGBoost,21,0.5317620635032654,0.7095902525302152,0.19298245614035087,0.503742844561867,0.27905842175875106,0.6726282300268495,0.21618872678851997
Rede Neural,21,0.12968253574889885,0.7831384494448266,0.20843537414965987,0.337296345222369,0.25765220316178944,0.6480786416312686,0.2013426332364009
Random Forest,42,0.4954636932083423,0.7170580721234155,0.19659011830201809,0.49757815940114486,0.28183065220102255,0.6729151671168999,0.2187067051353947
XGBoost,42,0.542879581451416,0.7297828436670925,0.20294388224471022,0.4856891237340379,0.2862704386192577,0.6827044374108108,0.22904492335203608
Rede Neural,42,0.1324596918931341,0.7569028200845043,0.197650779308787,0.3852928225451343,0.2612720214989549,0.6529071279595265,0.20389885902414975
Random Forest,84,0.48730282923375456,0.6981920015721725,0.19024,0.5235579040070454,0.2790752259124516,0.6711589665082918,0.2193443407715452
XGBoost,84,0.539231538772583,0.7205954603517736,0.1985527709142252,0.4953764861294584,0.2834824240897064,0.6793778080831007,0.2251901297387918
Rede Neural,84,0.13119998699289795,0.7567554289083227,0.1885169688516969,0.3571114046675473,0.24676707743800397,0.6452376028310964,0.2014071924295624
Random Forest,126,0.47488274569542627,0.6606563820379286,0.17859123682750971,0.5671510347864377,0.27164399451650323,0.664468402500306,0.2113534208867047
XGBoost,126,0.5280572175979614,0.7008941731355016,0.19172993054433857,0.5226772346983708,0.28054833372725124,0.6776672773104827,0.2156632992289576
Rede Neural,126,0.1375096088215827,0.7540532573449936,0.1887093102663328,0.36503742844561865,0.24879951980792317,0.644699840816697,0.1969461487046801
